date,timestamp,minimum spectral radiance at 3.9 µm,maximum spectral radiance at 3.9 µm,mean spectral radiance at 3.9 µm
2015-12-02 21:45:00,1449092700000,0.0649672,0.926227,0.241336
2015-12-02 22:00:00,1449093600000,0.0625614,0.916604,0.24016
2015-12-02 22:15:00,1449094500000,0.115488,0.815563,0.230002
2015-12-02 22:30:00,1449095400000,0.101054,0.817969,0.234333
2015-12-02 22:45:00,1449096300000,0.0649672,1.01765,0.244223
2015-12-02 23:15:00,1449098100000,0.0866191,0.906981,0.237059
2015-12-02 23:30:00,1449099000000,0.0649672,1.0826,0.246041
2015-12-03 00:15:00,1449101700000,0.0336921,1.1668,0.257856
2015-12-03 00:30:00,1449102600000,0.0168517,1.36648,0.267906
2015-12-03 00:45:00,1449103500000,0.0192575,1.58781,0.283454
2015-12-03 01:15:00,1449105300000,0.00963435,1.73215,0.284158
2015-12-03 01:30:00,1449106200000,0.0673729,1.93423,0.314783
2015-12-03 01:45:00,1449107100000,0.0842133,2.01122,0.303672
2015-12-03 02:00:00,1449108000000,0.00963435,1.89334,0.292178
2015-12-03 02:15:00,1449108900000,0.0000111778,2.11707,0.347727
2015-12-03 02:30:00,1449109800000,0.0192575,2.22052,0.368551
2015-12-03 02:45:00,1449110700000,0.00482278,1.22213,0.239603
2015-12-03 03:00:00,1449111600000,0.0000111778,0.21653,0.139011
2015-12-03 03:15:00,1449112500000,0.00482278,0.21653,0.107629
2015-12-03 03:30:00,1449113400000,0.0000111778,0.317572,0.134352
2015-12-03 03:45:00,1449114300000,0.0192575,0.476352,0.161518
2015-12-03 04:15:00,1449116100000,0.0914306,0.531684,0.189639
2015-12-03 04:30:00,1449117000000,0.0914306,0.526873,0.195467
2015-12-03 04:45:00,1449117900000,0.0721845,0.863678,0.221235
2015-12-03 05:00:00,1449118800000,0.129923,0.923822,0.224977
2015-12-03 05:15:00,1449119700000,0.0866191,0.796317,0.220754
2015-12-03 05:30:00,1449120600000,0.0842133,0.757825,0.217439
2015-12-03 05:45:00,1449121500000,0.105865,0.649566,0.214124
2015-12-03 06:00:00,1449122400000,0.103459,0.64716,0.216744
2015-12-03 06:15:00,1449123300000,0.13714,0.656783,0.22209
2015-12-03 06:30:00,1449124200000,0.141952,0.572582,0.217439
2015-12-03 06:45:00,1449125100000,0.13714,0.512438,0.211826
2015-12-03 07:00:00,1449126000000,0.151575,0.50041,0.222251
2015-12-03 07:15:00,1449126900000,0.178038,0.505221,0.242192
2015-12-03 07:30:00,1449127800000,0.161198,0.519656,0.258016
2015-12-03 07:45:00,1449128700000,0.190067,0.490787,0.271328
2015-12-03 08:00:00,1449129600000,0.180444,0.51725,0.287634
2015-12-03 08:15:00,1449130500000,0.214125,0.553336,0.303779
2015-12-03 08:30:00,1449131400000,0.228559,0.570176,0.319069
2015-12-03 08:45:00,1449132300000,0.235776,0.560553,0.332221
2015-12-03 09:00:00,1449133200000,0.257428,0.572582,0.349168
2015-12-03 09:15:00,1449134100000,0.276674,0.546119,0.360181
2015-12-03 09:30:00,1449135000000,0.27908,0.570176,0.375471
2015-12-03 09:45:00,1449135900000,0.288703,0.565365,0.385468
2015-12-03 10:00:00,1449136800000,0.293515,0.574988,0.398245
2015-12-03 10:15:00,1449137700000,0.319978,0.606263,0.41161
2015-12-03 10:30:00,1449138600000,0.319978,0.59664,0.419683
2015-12-03 10:45:00,1449139500000,0.329601,0.59664,0.427702
2015-12-03 11:15:00,1449141300000,0.346441,0.558148,0.436951
2015-12-03 11:30:00,1449142200000,0.356064,0.531684,0.437913
2015-12-03 11:45:00,1449143100000,0.346441,0.512438,0.435026
2015-12-03 12:15:00,1449144900000,0.339224,0.485975,0.422463
2015-12-03 12:30:00,1449145800000,0.346441,0.488381,0.41268
2015-12-03 12:45:00,1449146700000,0.327195,0.473946,0.401667
2015-12-03 13:15:00,1449148500000,0.276674,0.428237,0.373386
2015-12-03 13:30:00,1449149400000,0.271863,0.42102,0.358577
2015-12-03 13:45:00,1449150300000,0.242994,0.423425,0.341523
2015-12-03 14:15:00,1449152100000,0.223748,0.372905,0.300037
2015-12-03 14:30:00,1449153000000,0.211719,0.34163,0.281967
2015-12-03 14:45:00,1449153900000,0.204502,0.307949,0.263844
2015-12-03 15:15:00,1449155700000,0.168415,0.271863,0.22209
2015-12-03 15:30:00,1449156600000,0.163604,0.242994,0.200011
2015-12-03 15:45:00,1449157500000,0.149169,0.221342,0.192473
2015-12-03 16:00:00,1449158400000,0.156386,0.230965,0.194878
2015-12-03 16:15:00,1449159300000,0.161198,0.228559,0.195894
2015-12-03 16:30:00,1449160200000,0.166009,0.226153,0.196001
2015-12-03 16:45:00,1449161100000,0.161198,0.223748,0.195039
2015-12-03 17:00:00,1449162000000,0.158792,0.221342,0.193275
2015-12-03 17:15:00,1449162900000,0.158792,0.238182,0.197712
2015-12-03 17:30:00,1449163800000,0.153981,0.271863,0.204876
2015-12-03 17:45:00,1449164700000,0.163604,0.242994,0.204608
2015-12-03 18:15:00,1449166500000,0.170821,0.235776,0.201561
2015-12-03 18:30:00,1449167400000,0.163604,0.233371,0.200866
2015-12-03 18:45:00,1449168300000,0.168415,0.226153,0.19846
2015-12-03 19:00:00,1449169200000,0.161198,0.240588,0.198193
2015-12-03 19:15:00,1449170100000,0.163604,0.233371,0.197177
2015-12-03 19:30:00,1449171000000,0.156386,0.230965,0.195039
2015-12-03 19:45:00,1449171900000,0.163604,0.221342,0.186592
2015-12-03 20:00:00,1449172800000,0.149169,0.211719,0.179963
2015-12-03 20:15:00,1449173700000,0.141952,0.197284,0.172478
2015-12-03 20:30:00,1449174600000,0.139546,0.211719,0.172692
2015-12-03 20:45:00,1449175500000,0.125111,0.206907,0.171944
2015-12-03 21:00:00,1449176400000,0.153981,0.202096,0.175632
2015-12-03 21:15:00,1449177300000,0.13714,0.21653,0.177878
2015-12-03 21:30:00,1449178200000,0.149169,0.209313,0.178733
2015-12-03 21:45:00,1449179100000,0.151575,0.21653,0.184988
2015-12-03 22:00:00,1449180000000,0.161198,0.218936,0.186966
2015-12-03 22:15:00,1449180900000,0.163604,0.214125,0.187233
2015-12-03 22:30:00,1449181800000,0.161198,0.21653,0.187822
2015-12-03 22:45:00,1449182700000,0.161198,0.21653,0.18996
2015-12-03 23:00:00,1449183600000,0.161198,0.218936,0.190281
2015-12-03 23:15:00,1449184500000,0.161198,0.223748,0.187875
2015-12-03 23:30:00,1449185400000,0.146763,0.209313,0.177183
2015-12-04 00:15:00,1449188100000,0.117894,0.178038,0.149276
2015-12-04 00:30:00,1449189000000,0.1203,0.202096,0.149009
2015-12-04 00:45:00,1449189900000,0.129923,0.209313,0.159915
2015-12-04 01:00:00,1449190800000,0.13714,0.209313,0.167613
2015-12-04 01:15:00,1449191700000,0.129923,0.202096,0.161465
2015-12-04 01:30:00,1449192600000,0.127517,0.197284,0.155584
2015-12-04 01:45:00,1449193500000,0.134734,0.178038,0.154836
2015-12-04 02:00:00,1449194400000,0.134734,0.178038,0.156921
2015-12-04 02:15:00,1449195300000,0.13714,0.18285,0.159701
2015-12-04 02:30:00,1449196200000,0.127517,0.202096,0.165314
2015-12-04 02:45:00,1449197100000,0.134734,0.209313,0.173494
2015-12-04 03:00:00,1449198000000,0.153981,0.211719,0.178573
2015-12-04 03:15:00,1449198900000,0.158792,0.214125,0.181299
2015-12-04 03:30:00,1449199800000,0.151575,0.214125,0.183652
2015-12-04 03:45:00,1449200700000,0.144357,0.204502,0.174991
2015-12-04 04:00:00,1449201600000,0.139546,0.197284,0.171035
2015-12-04 04:15:00,1449202500000,0.139546,0.214125,0.179482
2015-12-04 04:30:00,1449203400000,0.153981,0.214125,0.182903
2015-12-04 04:45:00,1449204300000,0.153981,0.209313,0.182957
2015-12-04 05:15:00,1449206100000,0.158792,0.211719,0.182689
2015-12-04 05:30:00,1449207000000,0.153981,0.19969,0.179909
2015-12-04 05:45:00,1449207900000,0.156386,0.209313,0.180872
2015-12-04 06:00:00,1449208800000,0.156386,0.209313,0.181513
2015-12-04 06:15:00,1449209700000,0.161198,0.214125,0.186592
2015-12-04 06:30:00,1449210600000,0.173227,0.240588,0.197712
2015-12-04 06:45:00,1449211500000,0.134734,0.26224,0.21343
2015-12-04 07:00:00,1449212400000,0.122706,0.293515,0.215087
2015-12-04 07:15:00,1449213300000,0.146763,0.29592,0.241443
2015-12-04 07:30:00,1449214200000,0.206907,0.34163,0.260743
2015-12-04 07:45:00,1449215100000,0.187661,0.736173,0.295011
2015-12-04 08:00:00,1449216000000,0.132329,0.820374,0.323292
2015-12-04 08:15:00,1449216900000,0.117894,1.07538,0.3628
2015-12-04 08:30:00,1449217800000,0.180444,0.943068,0.351039
2015-12-04 08:45:00,1449218700000,0.238182,0.632726,0.323079
2015-12-04 09:15:00,1449220500000,0.101054,0.459512,0.257
2015-12-04 09:30:00,1449221400000,0.105865,0.300732,0.218134
2015-12-04 09:45:00,1449222300000,0.122706,0.298326,0.230858
2015-12-04 10:15:00,1449224100000,0.127517,0.329601,0.251066
2015-12-04 10:30:00,1449225000000,0.175632,0.34163,0.266784
2015-12-04 10:45:00,1449225900000,0.211719,0.380122,0.289879
2015-12-04 11:15:00,1449227700000,0.125111,0.452294,0.220593
2015-12-04 11:30:00,1449228600000,0.127517,0.259834,0.175525
2015-12-04 11:45:00,1449229500000,0.110677,0.218936,0.160824
