date,timestamp,minimum spectral radiance at 3.9 µm,maximum spectral radiance at 3.9 µm,mean spectral radiance at 3.9 µm
20/08/2015 23:00,1.44011E+12,0.187661,0.267051,0.206546
20/08/2015 23:15,1.44011E+12,0.187661,0.264645,0.209433
20/08/2015 23:30,1.44011E+12,0.178038,0.274269,0.207509
20/08/2015 23:45,1.44011E+12,0.173227,0.281486,0.207268
21/08/2015 00:00,1.44012E+12,0.18285,0.245399,0.202817
21/08/2015 00:15,1.44012E+12,0.18285,0.226153,0.201013
21/08/2015 00:30,1.44012E+12,0.190067,0.226153,0.204742
21/08/2015 00:45,1.44012E+12,0.185255,0.226153,0.202336
21/08/2015 01:00,1.44012E+12,0.185255,0.223748,0.199089
21/08/2015 01:15,1.44012E+12,0.190067,0.221342,0.200291
21/08/2015 01:30,1.44012E+12,0.187661,0.242994,0.204261
21/08/2015 01:45,1.44012E+12,0.192473,0.247805,0.209072
21/08/2015 02:00,1.44012E+12,0.190067,0.283892,0.21208
21/08/2015 02:15,1.44012E+12,0.187661,0.293515,0.215087
21/08/2015 02:30,1.44012E+12,0.180444,0.334412,0.216891
21/08/2015 02:45,1.44013E+12,0.197284,0.35847,0.24155
21/08/2015 03:00,1.44013E+12,0.194878,0.406585,0.273426
21/08/2015 03:15,1.44013E+12,0.202096,0.445077,0.294236
21/08/2015 03:30,1.44013E+12,0.206907,0.469135,0.314685
21/08/2015 03:45,1.44013E+12,0.221342,0.428237,0.321902
21/08/2015 04:00,1.44013E+12,0.221342,0.435454,0.330683
21/08/2015 04:15,1.44013E+12,0.233371,0.483569,0.336578
21/08/2015 04:30,1.44013E+12,0.240588,0.47154,0.342833
21/08/2015 04:45,1.44013E+12,0.252617,0.50041,0.349328
21/08/2015 05:00,1.44013E+12,0.259834,0.493192,0.35847
21/08/2015 05:15,1.44013E+12,0.276674,0.481164,0.364364
21/08/2015 05:30,1.44014E+12,0.286297,0.469135,0.367852
21/08/2015 05:45,1.44014E+12,0.293515,0.461917,0.375671
21/08/2015 06:00,1.44014E+12,0.307949,0.459512,0.380122
21/08/2015 06:15,1.44014E+12,0.315166,0.469135,0.384212
21/08/2015 06:30,1.44014E+12,0.332007,0.469135,0.392993
21/08/2015 06:45,1.44014E+12,0.34163,0.452294,0.394556
21/08/2015 07:00,1.44014E+12,0.368093,0.445077,0.401172
21/08/2015 07:15,1.44014E+12,0.372905,0.445077,0.405142
21/08/2015 07:30,1.44014E+12,0.370499,0.459512,0.411998
21/08/2015 07:45,1.44014E+12,0.368093,0.464323,0.419456
21/08/2015 08:00,1.44014E+12,0.35847,0.473946,0.419576
21/08/2015 08:15,1.44014E+12,0.35847,0.488381,0.421741
21/08/2015 08:30,1.44015E+12,0.346441,0.514844,0.426914
21/08/2015 08:45,1.44015E+12,0.360876,0.512438,0.427756
21/08/2015 09:00,1.44015E+12,0.384933,0.526873,0.436537
21/08/2015 09:15,1.44015E+12,0.382528,0.546119,0.445197
21/08/2015 09:30,1.44015E+12,0.389745,0.555742,0.451934
21/08/2015 09:45,1.44015E+12,0.387339,0.555742,0.450731
21/08/2015 10:00,1.44015E+12,0.406585,0.558148,0.459993
21/08/2015 10:15,1.44015E+12,0.413802,0.553336,0.46697
21/08/2015 10:30,1.44015E+12,0.416208,0.567771,0.47118
21/08/2015 10:45,1.44015E+12,0.404179,0.570176,0.471059
21/08/2015 11:00,1.44015E+12,0.406585,0.55093,0.463722
21/08/2015 11:15,1.44016E+12,0.389745,0.529279,0.453618
21/08/2015 11:30,1.44016E+12,0.382528,0.529279,0.445197
21/08/2015 11:45,1.44016E+12,0.387339,0.510033,0.444837
21/08/2015 12:00,1.44016E+12,0.387339,0.512438,0.440386
21/08/2015 12:15,1.44016E+12,0.37531,0.488381,0.431725
21/08/2015 12:30,1.44016E+12,0.363282,0.4547,0.410915
21/08/2015 12:45,1.44016E+12,0.339224,0.416208,0.380844
21/08/2015 13:00,1.44016E+12,0.303138,0.380122,0.342592
21/08/2015 13:15,1.44016E+12,0.271863,0.322384,0.303498
21/08/2015 13:30,1.44016E+12,0.238182,0.27908,0.260195
21/08/2015 13:45,1.44016E+12,0.211719,0.247805,0.22904
21/08/2015 14:00,1.44017E+12,0.204502,0.226153,0.216651
21/08/2015 14:15,1.44017E+12,0.204502,0.221342,0.213403
21/08/2015 14:30,1.44017E+12,0.19969,0.238182,0.21232
21/08/2015 14:45,1.44017E+12,0.202096,0.242994,0.211599
21/08/2015 15:00,1.44017E+12,0.194878,0.233371,0.212561
21/08/2015 15:15,1.44017E+12,0.197284,0.235776,0.210877
21/08/2015 15:30,1.44017E+12,0.192473,0.218936,0.207028
21/08/2015 15:45,1.44017E+12,0.194878,0.21653,0.207148
21/08/2015 16:00,1.44017E+12,0.194878,0.21653,0.207148
21/08/2015 16:15,1.44017E+12,0.197284,0.218936,0.209193
21/08/2015 16:30,1.44017E+12,0.197284,0.21653,0.207629
21/08/2015 16:45,1.44018E+12,0.197284,0.221342,0.20799
21/08/2015 17:00,1.44018E+12,0.197284,0.223748,0.207749
21/08/2015 17:15,1.44018E+12,0.19969,0.223748,0.209193
21/08/2015 17:30,1.44018E+12,0.194878,0.228559,0.206186
21/08/2015 17:45,1.44018E+12,0.197284,0.235776,0.206186
21/08/2015 18:00,1.44018E+12,0.197284,0.226153,0.206426
21/08/2015 18:15,1.44018E+12,0.190067,0.226153,0.206306
21/08/2015 18:30,1.44018E+12,0.192473,0.233371,0.207028
21/08/2015 18:45,1.44018E+12,0.192473,0.242994,0.205584
21/08/2015 19:00,1.44018E+12,0.192473,0.259834,0.206787
21/08/2015 19:15,1.44018E+12,0.194878,0.291109,0.212922
21/08/2015 19:30,1.44019E+12,0.187661,0.339224,0.221101
21/08/2015 19:45,1.44019E+12,0.190067,0.35847,0.227958
21/08/2015 20:00,1.44019E+12,0.190067,0.353658,0.239024
21/08/2015 20:15,1.44019E+12,0.187661,0.348847,0.246241
21/08/2015 20:30,1.44019E+12,0.190067,0.34163,0.244317
21/08/2015 20:45,1.44019E+12,0.194878,0.346441,0.24564
21/08/2015 21:00,1.44019E+12,0.192473,0.329601,0.239986
21/08/2015 21:15,1.44019E+12,0.190067,0.307949,0.229642
21/08/2015 21:30,1.44019E+12,0.192473,0.288703,0.224229
21/08/2015 21:45,1.44019E+12,0.187661,0.29592,0.219177
21/08/2015 22:00,1.44019E+12,0.180444,0.27908,0.212681
21/08/2015 22:15,1.4402E+12,0.190067,0.240588,0.207148
21/08/2015 22:30,1.4402E+12,0.18285,0.233371,0.203419
21/08/2015 22:45,1.4402E+12,0.178038,0.223748,0.198367
21/08/2015 23:00,1.4402E+12,0.175632,0.221342,0.196202
21/08/2015 23:15,1.4402E+12,0.187661,0.247805,0.205704
21/08/2015 23:30,1.4402E+12,0.178038,0.250211,0.211238
21/08/2015 23:45,1.4402E+12,0.168415,0.226153,0.198367
22/08/2015 00:00,1.4402E+12,0.180444,0.228559,0.198487
22/08/2015 00:15,1.4402E+12,0.178038,0.221342,0.199089
22/08/2015 00:30,1.4402E+12,0.180444,0.228559,0.19969
22/08/2015 00:45,1.4402E+12,0.170821,0.228559,0.196081
22/08/2015 01:00,1.44021E+12,0.173227,0.228559,0.194036
22/08/2015 01:15,1.44021E+12,0.175632,0.223748,0.194758
22/08/2015 01:30,1.44021E+12,0.175632,0.218936,0.194999
22/08/2015 01:45,1.44021E+12,0.175632,0.221342,0.192352
22/08/2015 02:00,1.44021E+12,0.173227,0.211719,0.19127
